#H2 electronic ground state rovibrational energy levels
#Taken from Cloudy H2 data file c13.03/data/h2/energy_X.dat
#with energies converted to um^-1 using Excel
#
# V	J	Energy [cm^-1]	Energy [um^-1]
#
0	0	0	0
0	1	118.5	0.01185
0	2	354.35	0.035435
0	3	705.54	0.070554
0	4	1168.78	0.116878
0	5	1740.21	0.174021
0	6	2414.76	0.241476
0	7	3187.57	0.318757
0	8	4051.73	0.405173
0	9	5001.97	0.500197
0	10	6030.81	0.603081
0	11	7132.03	0.713203
0	12	8298.61	0.829861
0	13	9523.82	0.952382
0	14	10800.6	1.08006
0	15	12123.66	1.212366
0	16	13485.56	1.348556
0	17	14881.29	1.488129
0	18	16304.82	1.630482
0	19	17750.25	1.775025
0	20	19213.16	1.921316
0	21	20688.04	2.068804
0	22	22170.98	2.217098
0	23	23656.4	2.36564
0	24	25141.64	2.514164
0	25	26622.18	2.662218
0	26	28093.55	2.809355
0	27	29554.03	2.955403
0	28	30999.06	3.099906
0	29	32423.09	3.242309
0	30	33821.2559	3.38212559
0	31	35197.44469	3.519744469
#data missing	0	30	0.003
#data missing	0	31	0.0031
1	0	4161.14	0.416114
1	1	4273.75	0.427375
1	2	4497.82	0.449782
1	3	4831.41	0.483141
1	4	5271.36	0.527136
1	5	5813.95	0.581395
1	6	6454.28	0.645428
1	7	7187.44	0.718744
1	8	8007.77	0.800777
1	9	8908.28	0.890828
1	10	9883.79	0.988379
1	11	10927.12	1.092712
1	12	12031.44	1.203144
1	13	13191.06	1.319106
1	14	14399.08	1.439908
1	15	15649.58	1.564958
1	16	16936.24	1.693624
1	17	18253.48	1.825348
1	18	19595.66	1.959566
1	19	20957.71	2.095771
1	20	22333.77	2.233377
1	21	23720.3	2.37203
1	22	25111.61	2.511161
1	23	26503.77	2.650377
1	24	27892.87	2.789287
1	25	29273.9	2.92739
1	26	30643.65	3.064365
1	27	31997.67	3.199767
1	28	33327.69	3.332769
1	29	34643.64	3.464364
1	30	35923.114	3.5923114
#data missing	1	30	0.003
2	0	8086.93	0.808693
2	1	8193.81	0.819381
2	2	8406.29	0.840629
2	3	8722.7	0.87227
2	4	9139.86	0.913986
2	5	9654.15	0.965415
2	6	10261.2	1.02612
2	7	10955.68	1.095568
2	8	11732.12	1.173212
2	9	12584.8	1.25848
2	10	13507.42	1.350742
2	11	14493.58	1.449358
2	12	15537.15	1.553715
2	13	16632.1	1.66321
2	14	17771.73	1.777173
2	15	18950.27	1.895027
2	16	20161.77	2.016177
2	17	21400.94	2.140094
2	18	22661.71	2.266171
2	19	23939.59	2.393959
2	20	25228.65	2.522865
2	21	26524.81	2.652481
2	22	27823.02	2.782302
2	23	29118.97	2.911897
2	24	30408.13	3.040813
2	25	31685.55	3.168555
2	26	32947.18	3.294718
2	27	34189.01	3.418901
2	28	35402	3.5402
2	29	36588.23	3.658823
3	0	11782.36	1.178236
3	1	11883.51	1.188351
3	2	12084.66	1.208466
3	3	12384.14	1.238414
3	4	12778.78	1.277878
3	5	13265.27	1.326527
3	6	13839.18	1.383918
3	7	14495.46	1.449546
3	8	15228.82	1.522882
3	9	16033.83	1.603383
3	10	16904.42	1.690442
3	11	17833.83	1.783383
3	12	18816.78	1.881678
3	13	19847.08	1.984708
3	14	20918.25	2.091825
3	15	22024.99	2.202499
3	16	23161.07	2.316107
3	17	24321.21	2.432121
3	18	25499.74	2.549974
3	19	26691.81	2.669181
3	20	27891.56	2.789156
3	21	29094.96	2.909496
3	22	30296.29	3.029629
3	23	31490.9	3.14909
3	24	32673.63	3.267363
3	25	33840.2	3.38402
3	26	34983.4	3.49834
3	27	36098.04	3.609804
3	28	37176.69	3.717669
3	29	38206.66	3.820666
4	0	15250.41	1.525041
4	1	15345.81	1.534581
4	2	15535.7	1.55357
4	3	15818.27	1.581827
4	4	16190.66	1.619066
4	5	16649.48	1.664948
4	6	17190.36	1.719036
4	7	17808.76	1.780876
4	8	18499.06	1.849906
4	9	19256.43	1.925643
4	10	20074.45	2.007445
4	11	20947.48	2.094748
4	12	21869.48	2.186948
4	13	22834.61	2.283461
4	14	23836.56	2.383656
4	15	24870.31	2.487031
4	16	25929.42	2.592942
4	17	27008.79	2.700879
4	18	28102.32	2.810232
4	19	29205.28	2.920528
4	20	30311.8	3.03118
4	21	31416.98	3.141698
4	22	32514.75	3.251475
4	23	33600.22	3.360022
4	24	34666.91	3.466691
4	25	35707.98	3.570798
4	26	36713.57	3.671357
4	27	37675	3.7675
4	28	38566.17	3.856617
4	29	39366.37	3.936637
5	0	18491.92	1.849192
5	1	18581.71	1.858171
5	2	18760.28	1.876028
5	3	19026.01	1.902601
5	4	19375.99	1.937599
5	5	19807.03	1.980703
5	6	20314.77	2.031477
5	7	20894.94	2.089494
5	8	21542.14	2.154214
5	9	22251.21	2.225121
5	10	23016.21	2.301621
5	11	23831.68	2.383168
5	12	24691.77	2.469177
5	13	25590.22	2.559022
5	14	26521.37	2.652137
5	15	27479.64	2.747964
5	16	28459	2.8459
5	17	29453.78	2.945378
5	18	30457.97	3.045797
5	19	31466.45	3.146645
5	20	32472.78	3.247278
5	21	33471.25	3.347125
5	22	34454.77	3.445477
5	23	35416.56	3.541656
5	24	36346.64	3.634664
5	25	37235.27	3.723527
5	26	38062.06	3.806206
6	0	21505.78	2.150578
6	1	21589.82	2.158982
6	2	21756.98	2.175698
6	3	22005.58	2.200558
6	4	22332.85	2.233285
6	5	22735.61	2.273561
6	6	23209.77	2.320977
6	7	23750.95	2.375095
6	8	24353.9	2.43539
6	9	25013.67	2.501367
6	10	25724.35	2.572435
6	11	26480.6	2.64806
6	12	27276.37	2.727637
6	13	28105.82	2.810582
6	14	28962.9	2.89629
6	15	29841.84	2.984184
6	16	30736.45	3.073645
6	17	31641.13	3.164113
6	18	32548.92	3.254892
6	19	33453.82	3.345382
6	20	34348.48	3.434848
6	21	35225.98	3.522598
6	22	36075.24	3.607524
6	23	36885.88	3.688588
6	24	37637.52	3.763752
7	0	24287.91	2.428791
7	1	24366.14	2.436614
7	2	24521.53	2.452153
7	3	24752.53	2.475253
7	4	25056.36	2.505636
7	5	25430.1	2.54301
7	6	25869.54	2.586954
7	7	26370.44	2.637044
7	8	26927.66	2.692766
7	9	27536.04	2.753604
7	10	28190.11	2.819011
7	11	28884.11	2.888411
7	12	29612.32	2.961232
7	13	30368.22	3.036822
7	14	31146.29	3.114629
7	15	31939.66	3.193966
7	16	32742.38	3.274238
7	17	33547.19	3.354719
7	18	34346.87	3.434687
7	19	35133.35	3.513335
7	20	35896.59	3.589659
7	21	36624.4	3.66244
7	22	37295.83	3.729583
8	0	26831.16	2.683116
8	1	26903.18	2.690318
8	2	27046.34	2.704634
8	3	27258.98	2.725898
8	4	27538.44	2.753844
8	5	27881.72	2.788172
8	6	28284.7	2.82847
8	7	28743.14	2.874314
8	8	29252.08	2.925208
8	9	29806.08	2.980608
8	10	30399.8	3.03998
8	11	31027.04	3.102704
8	12	31682.04	3.168204
8	13	32358.45	3.235845
8	14	33049.16	3.304916
8	15	33747.29	3.374729
8	16	34445.74	3.444574
8	17	35135.65	3.513565
8	18	35806.8	3.58068
8	19	36446.22	3.644622
8	20	37032.1	3.70321
9	0	29124.09	2.912409
9	1	29189.64	2.918964
9	2	29319.77	2.931977
9	3	29512.94	2.951294
9	4	29766.42	2.976642
9	5	30077.22	3.007722
9	6	30441.21	3.044121
9	7	30854.14	3.085414
9	8	31310.79	3.131079
9	9	31805.89	3.180589
9	10	32333.52	3.233352
9	11	32887.65	3.288765
9	12	33461.23	3.346123
9	13	34047.64	3.404764
9	14	34638.71	3.463871
9	15	35225.91	3.522591
9	16	35798.51	3.579851
9	17	36343.17	3.634317
9	18	36837.03	3.683703
10	0	31150.47	3.115047
10	1	31208.93	3.120893
10	2	31324.77	3.132477
10	3	31496.96	3.149696
10	4	31722.15	3.172215
10	5	31997.5	3.19975
10	6	32318.76	3.231876
10	7	32681.46	3.268146
10	8	33080.43	3.308043
10	9	33509.4	3.35094
10	10	33962.68	3.396268
10	11	34432.7	3.44327
10	12	34911.99	3.491199
10	13	35391.61	3.539161
10	14	35860.71	3.586071
10	15	36304.58	3.630458
11	0	32887.13	3.288713
11	1	32937.8	3.29378
11	2	33038.1	3.30381
11	3	33186.55	3.318655
11	4	33380.1	3.33801
11	5	33615.6	3.36156
11	6	33888.54	3.388854
11	7	34194.06	3.419406
11	8	34526.28	3.452628
11	9	34878.64	3.487864
11	10	35243.63	3.524363
11	11	35612.15	3.561215
