#H2 electronic ground state rovibrational dissociation energies 
#
#Compiled by Kyle Kaplan on Oct. 28, 2016
#
#Taken from Table 1 of Komasa et al. (2011)
#"Quantum Electrodynamics Effects in Rovibrational Spectra of Molecular Hydrogen"
#
#You need to subtract from the theroetical H2 dissociation energy of 36118.069611 cm^-1
#to get the level's actual dissociation energy above the ground, but this doesn't matter if you
#are looking for energy level differences to find wavelengths
#
# V	J	Energy [cm^-1]
#
0	0	36118.0696
0	1	35999.5827
0 	2	35763.6964
0	3	35412.5507
0	4	34949.2721
0	5	34377.8800
0	6	33703.1726
0	7	32930.5991
0	8	32066.1266
0	9	31116.1067
0	10	30087.1493
0	11	28986.0061
0	12	27819.4682
0	13	26594.2780
0	14	25317.0575
0	15	23994.2505
0	16	22632.0799
0	17	21236.5171
0	18	19813.2627
0	19	18367.7376
0	20	16905.0813
0	21	15430.1579
0	22	13947.5677
0	23	12461.6638
0	24	10976.5735
0	25	9496.2237
0	26	8024.3709
0	27	6564.6364
0	28	5120.5483
0	29	3695.5928
0	30	2293.2796
0	31	917.2285
1	0	31956.9034
1	1	31844.3290
1 	2	31620.2311
1	3	31286.6781
1	4	30846.6902
1	5	30304.1479
1	6	29663.6809
1	7	28930.5440
1	8	28110.4874
1	9	27209.6288
1	10	26234.3321
1	11	25191.0967
1	12	24086.4605
1	13	22926.9171
1	14	21718.8492
1	15	20468.4759
1	16	19181.8142
1	17	17864.6524
1	18	16522.5351
1	19	15160.7573
1	20	13784.3676
1	21	12398.1776
1	22	11006.7791
1	23	9614.5672
1	24	8225.7696
1	25	6844.4839
1	26	5474.7238
1	27	4120.4784
1	28	2785.7900
1	29	1474.8629
1	30	192.2238
2	0	28031.0670
2	1	27924.2753
2 	2	27711.7087
2	3	27395.3676
2	4	26978.1720
2	5	26463.8724
2	6	25856.9411
2	7	25162.4519
2	8	24385.9548
2	9	23533.3534
2	10	22610.7880
2	11	21624.5312
2	12	20580.8960
2	13	19486.1590
2	14	18346.4985
2	15	17167.9474
2	16	15956.3587
2	17	14717.3851
2	18	13456.4677
2	19	12178.8362
2	20	10889.5174
2	21	9593.3530
2	22	8295.0256
2	23	6999.0945
2	24	5710.0438
2	25	4432.3453
2	26	3170.5449
2	27	1929.3851
2	28	713.9904
3	0	24335.6787
3	1	24234.5818
3 	2	24033.3726
3	3	23733.9878
3	4	23339.2543
3	5	22852.8015
3	6	22278.9563
3	7	21622.6265
3	8	20889.1803
3	9	20084.3279
3	10	19214.0114
3	11	18284.3049
3	12	17301.3289
3	13	16271.1794
3	14	15199.8715
3	15	14093.2980
3	16	12957.2014
3	17	11797.1591
3	18	10618.5796
3	19	9426.7112
3	20	8226.6608
3	21	7023.4255
3	22	5821.9382
3	23	4627.1316
3	24	3444.0280
3	25	2277.8701
3	26	1134.3209
3	27	19.7931#Energy. possibly innacurate
4	0	20867.7039
4	1	20772.2598
4 	2	20582.3263
4	3	20299.7818
4	4	19927.3669
4	5	19468.6008
4	6	18927.6785
4	7	18309.3586
4	8	17618.8479
4	9	16861.6882
4	10	16043.6518
4	11	15170.6479
4	12	14248.6434
4	13	13283.5982
4	14	12281.4160
4	15	11247.9099
4	16	10188.7828
4	17	9109.6212
4	18	8015.9040
4	19	6913.0252
4	20	5806.3338
4	21	4701.1940
4	22	3603.0755
4	23	2517.6864
4	24	1451.1807
4	25	410.5020
5	0	17626.1400
5	1	17536.3593
5 	2	17357.7260
5	3	17092.0653
5	4	16742.0411
5	5	16311.0741
5	6	15803.2433
5	7	15223.1787
5	8	14575.9499
5	9	13866.9601
5	10	13101.8471
5	11	12286.3973
5	12	11426.4734
5	13	10527.9578
5	14	9596.7126
5	15	8638.5554
5	16	7659.2518
5	17	6664.5260
5	18	5660.0900
5	19	4651.6971
5	20	3645.2264
5	21	2646.8145
5	22	1663.0640
5	23	701.3929
6	0	14612.2901
6	1	14528.2461
6 	2	14361.0627
6	3	14112.5194
6	4	13785.2138
6	5	13382.4836
6	6	12908.3120
6	7	12367.2247
6	8	11764.1860
6	9	11104.4981
6	10	10393.7108
6	11	9637.5433
6	12	8841.8215
6	13	8012.4332
6	14	7155.3007
6	15	6276.3735
6	16	5381.6434
6	17	4477.1860
6	18	3569.2356
6	19	2664.3109
6	20	1769.4191
6	21	892.4054
6	22	42.5995
7	0	11830.1543
7	1	11751.9964
7 	2	11596.5661
7	3	11365.6062
7	4	11061.6626
7	5	10688.0095
7	6	10248.5600
